ID,ADDRESS,LATITUDE,LONGITUDE,geometry
45,1st & N St  SE,38.8743,-77.0057,"c(-77.00570228404, 38.8743077826777)"
46,20th St & Florida Ave NW,38.9154,-77.0446,"c(-77.044602298309, 38.91540778977)"
47,7th & T St NW,38.9155,-77.0222,"c(-77.0222022917194, 38.915507790543)"
48,Eads St & 22nd St S,38.854381,-77.053412,"c(-77.0534142970537, 38.8543887771366)"
49,M St & New Jersey Ave SE,38.8763,-77.0037,"c(-77.0037022833155, 38.876307783066)"
51,Massachusetts Ave & Dupont Circle NW,38.9101,-77.0444,"c(-77.0444022978959, 38.9101077885139)"
52,1st & M St NE,38.9057,-77.0056,"c(-77.0056022854627, 38.9057077889151)"
53,21st & M St NW,38.90534,-77.046774,"c(-77.046776298448, 38.9053477874733)"
54,17th & K St NW,38.90276,-77.03863,"c(-77.0386322958015, 38.9027677870676)"
55,3rd & H St NW,38.899408,-77.015289,"c(-77.0152912881446, 38.8994157875862)"
56,3rd & D St SE,38.8851,-77.0023,"c(-77.0023022833561, 38.8851077850961)"
57,Potomac & Pennsylvania Ave SE,38.8803,-76.9862,"c(-76.9862022777606, 38.8803077845853)"
58,13th & E St SE,38.882915,-76.987907,"c(-76.9879092784909, 38.8829227849356)"
59,17th & Corcoran St NW,38.9121,-77.0387,"c(-77.0387022965752, 38.9121077890641)"
60,Van Ness Metro / UDC,38.944551,-77.063896,"c(-77.0638983064668, 38.9445587944775)"
61,Florida Ave & R St NW,38.9126,-77.0135,"c(-77.0135022883626, 38.9126077900072)"
62,8th & Eye St SE / Barracks Row,38.8792,-76.9953,"c(-76.9953022805607, 38.8792077841483)"
63,Ward Circle / American University,38.938736,-77.087171,"c(-77.0871733127844, 38.9387437925592)"
64,Wisconsin Ave & Newark St NW,38.934881,-77.072755,"c(-77.0727573084191, 38.9348887923387)"
65,14th St Heights / 14th & Crittenden St NW,38.947774,-77.032818,"c(-77.0328202967079, 38.9477817967987)"
66,Anacostia Library,38.865784,-76.9784,"c(-76.9784022745391, 38.8657917818911)"
67,Pennsylvania & Minnesota Ave SE,38.873057,-76.971015,"c(-76.9710172729979, 38.8730647839752)"
68,Eastern Market / 7th & North Carolina Ave SE,38.886952,-76.996806,"c(-76.9968082819665, 38.8869597858225)"
69,14th St & New York Ave NW,38.899632,-77.031686,"c(-77.0316882937096, 38.899639787049)"
70,Benning Branch Library,38.894,-76.947974,"c(-76.9479762672242, 38.894007788732)"
71,USDA / 12th & C St SW,38.886277,-77.028242,"c(-77.0282442918188, 38.8862847844616)"
72,Georgetown Harbor / 30th St NW,38.902221,-77.059219,"c(-77.0592213020784, 38.9022287864137)"
73,12th & Newton St NE,38.933668,-76.991016,"c(-76.9910182828447, 38.9336757953868)"
74,US Dept of State / Virginia Ave & 21st St NW,38.894919,-77.046587,"c(-77.0465892974066, 38.8949267855466)"
75,L'Enfant Plaza / 7th & C St SW,38.886266,-77.022241,"c(-77.0222432892909, 38.8862737845366)"
76,10th St & Constitution Ave NW,38.893028,-77.026013,"c(-77.0260152915106, 38.8930357859869)"
77,Kennedy Center,38.897293,-77.05557,"c(-77.0555723006792, 38.8973007855807)"
78,Eastern Market Metro / Pennsylvania Ave & 7th St SE,38.884,-76.995397,"c(-76.9953992811682, 38.8840077850572)"
79,18th & M St NW,38.905067,-77.041779,"c(-77.041781296861, 38.9050747873688)"
80,Tenleytown / Wisconsin Ave & Albemarle St NW,38.947607,-77.079382,"c(-77.0793843114655, 38.947614794703)"
81,13th & H St NE,38.900022,-76.988422,"c(-76.9884242802596, 38.9000297888469)"
82,5th & F St NW,38.897222,-77.019347,"c(-77.0193492891742, 38.8972297867995)"
83,New York Ave & 15th St NW,38.899032,-77.033354,"c(-77.0333562938877, 38.8990397869014)"
84,Convention Center / 7th & M St NW,38.905737,-77.02227,"c(-77.0222722909775, 38.9057447887285)"
85,Harvard St & Adams Mill Rd NW,38.927872,-77.043358,"c(-77.0433602986452, 38.9278797921607)"
86,18th & L St NW,38.903741,-77.042452,"c(-77.0424542972019, 38.9037487875177)"
87,C & O Canal & Wisconsin Ave NW,38.90375,-77.06269,"c(-77.0626923030577, 38.9037577863324)"
88,Maine Ave & 7th St SW,38.878694,-77.023054,"c(-77.0230562892544, 38.8787017830753)"
89,D St & Maryland Ave NE,38.894758,-76.997114,"c(-76.9971162823466, 38.8947657871636)"
90,34th St & Wisconsin Ave NW,38.916442,-77.0682,"c(-77.068202305609, 38.916449788801)"
91,13th St & New York Ave NW,38.900283,-77.029822,"c(-77.0298242931299, 38.9002907873211)"
92,8th & H St NW,38.8997,-77.023086,"c(-77.0230882905764, 38.8997077873965)"
93,10th & Monroe St NE,38.932514,-76.992889,"c(-76.9928912829599, 38.9325217948271)"
94,Eckington Pl & Q St NE,38.910972,-77.00495,"c(-77.0049522854699, 38.9109797899431)"
95,6th & H St NE,38.899972,-76.998347,"c(-76.9983492827579, 38.8999797882724)"
96,3rd & H St NE,38.900412,-77.001949,"c(-77.0019512841308, 38.9004197879095)"
97,Bladensburg Rd & Benning Rd NE,38.900413,-76.982872,"c(-76.9828742781341, 38.9004207889874)"
98,4th & East Capitol St NE,38.889955,-77.000349,"c(-77.0003512830709, 38.8899627859636)"
99,Lincoln Park / 13th & East Capitol St NE,38.890461,-76.988355,"c(-76.9883572793705, 38.8904687868575)"
100,Branch & Pennsylvania Ave SE,38.8692,-76.9599,"c(-76.9599022689749, 38.8692077836351)"
101,13th & D St NE,38.894832,-76.987633,"c(-76.9876352796916, 38.8948397876649)"
102,New Hampshire Ave & T St NW,38.91554,-77.03818,"c(-77.0381822965092, 38.9155477897107)"
103,Metro Center / 12th & G St NW,38.898364,-77.027869,"c(-77.0278712923081, 38.8983717870285)"
104,14th & D St NW / Ronald Reagan Building,38.894514,-77.031617,"c(-77.031619292939, 38.8945217856358)"
105,7th & F St NW / National Portrait Gallery,38.897283,-77.022191,"c(-77.0221932899934, 38.8972907868038)"
106,17th & K St NW / Farragut Square,38.902061,-77.038322,"c(-77.0383242956722, 38.9020687870741)"
107,20th & O St NW / Dupont South,38.908905,-77.04478,"c(-77.0447822978649, 38.9089127883022)"
108,4th & D St NW / Judiciary Square,38.895344,-77.016106,"c(-77.016108288371, 38.8953517865952)"
109,19th St & Constitution Ave NW,38.8923,-77.0436,"c(-77.043602296959, 38.8923077851528)"
110,37th & O St NW / Georgetown University,38.90774,-77.071652,"c(-77.0716543063562, 38.9077477869793)"
111,11th & H St NE,38.899983,-76.991383,"c(-76.9913852808165, 38.899990788484)"
112,25th St & Pennsylvania Ave NW,38.903827,-77.053485,"c(-77.053487300433, 38.9038347871712)"
113,Columbus Circle / Union Station,38.89696,-77.00493,"c(-77.004932285147, 38.8969677873303)"
114,North Capitol St & F St NW,38.897446,-77.009888,"c(-77.0098902866996, 38.8974537870179)"
115,11th & M St NW,38.905607,-77.027137,"c(-77.0271392922204, 38.905614788016)"
116,36th & Calvert St NW / Glover Park,38.922581,-77.070334,"c(-77.0703363065346, 38.9225887901511)"
117,14th & G St NW,38.898409,-77.032278,"c(-77.0322802937269, 38.8984167864908)"
118,Potomac Ave & 35th St S,38.844015,-77.050537,"c(-77.0505392959039, 38.8440227749685)"
124,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,38.88412,-77.04657,"c(-77.0465722969692, 38.8841277833232)"
125,11th & F St NW,38.897857,-77.026975,"c(-77.0269772916759, 38.8978647866261)"
126,23rd & E St NW,38.896104,-77.049882,"c(-77.0498842988042, 38.8961117853907)"
127,Lynn St & 19th St North,38.897315,-77.070993,"c(-77.0709953056615, 38.8973227851248)"
128,Rosslyn Metro / Wilson Blvd & Ft Myer Dr,38.8946,-77.072305,"c(-77.0723073054759, 38.8946077845224)"
129,Clarendon Blvd & Pierce St,38.893438,-77.076389,"c(-77.0763913071769, 38.8934457838451)"
130,Wilson Blvd & N Uhle St,38.891696,-77.0846,"c(-77.0846023095054, 38.8917037834634)"
